feature,importance
store_cnt,0.0014886099088405533
sales_vol4,0.0009220700812675841
pop_job,0.00035416707293684305
pop_float,0.00035333063794609906
pop_float_vol4,0.00015085870250630475
pop_res_vol4,0.00012650465369427565
pop_res,9.561103937543724e-05
hhi,8.59934319028935e-05
sales_yoy,6.639958890919742e-05
store_density_km2,6.1029527505377515e-05
store_cnt_prev,0.0
turnover_rate,0.0
pop_res_yoy,-2.5435602494939745e-05
pop_float_yoy,-4.659043658730884e-05
pop_job_yoy,-0.00022483937323388264
sales,-0.00024101485888091654
pop_job_vol4,-0.00028160996867767176
