ENCODED_MCT,MCT_BSE_AR,MCT_NM,MCT_BRD_NUM,MCT_SIGUNGU_NM,HPSN_MCT_ZCD_NM,HPSN_MCT_BZN_CD_NM,ARE_D,MCT_ME_D,HJD_CODE,X,Y
16184E93D9,서울특별시 성동구 마장동,성우**,,서울 성동구,축산물,마장동,20130320,,1120054000.0,204004.39999997415,451872.4000000039
4D039EA8B7,서울특별시 성동구 마장동,대보**,,서울 성동구,축산물,마장동,20131122,,1120054000.0,204004.39999997415,451872.4000000039
0074C4990A,서울특별시 성동구 마장동,대용**,,서울 성동구,축산물,마장동,20140512,,1120054000.0,204004.39999997415,451872.4000000039
68308F2746,서울특별시 성동구 마장동,통일**,,서울 성동구,축산물,마장동,20151124,,1120054000.0,204004.39999997415,451872.4000000039
4117EDDE9C,서울특별시 성동구 마장동,한울**,,서울 성동구,축산물,마장동,20151211,,1120054000.0,204004.39999997415,451872.4000000039
281CA527F1,서울특별시 성동구 마장동,대광**,,서울 성동구,축산물,마장동,20170222,,1120054000.0,204004.39999997415,451872.4000000039
9A71D71270,서울특별시 성동구 마장동,미림**,,서울 성동구,식품 제조,,20170817,,1120054000.0,204004.39999997415,451872.4000000039
761947ABD9,서울특별시 성동구 마장동,호남*,,서울 성동구,한식-육류/고기,마장동,20130531,,1120054000.0,204004.39999997415,451872.4000000039
145BA84596,서울특별시 성동구 사근동,고향***,,서울 성동구,한식-찌개/전골,한양대,20140618,,1120055000.0,204004.80000001148,451330.8000000046
145BA84596,서울특별시 성동구 사근동,고향***,,서울 성동구,한식-찌개/전골,한양대,20140618,,1120055000.0,204004.80000001148,451330.8000000046
27C88660A5,서울특별시 성동구 송정동,북*,,서울 성동구,중식당,,20141217,,1120072000.0,206147.2000000149,450558.79999999853
27C88660A5,서울특별시 성동구 송정동,북*,,서울 성동구,중식당,,20141217,,1120072000.0,206147.2000000149,450558.79999999853
BAACCE3A2C,서울특별시 성동구 용답동,좋은**,,서울 성동구,식료품,장한평자동차,20130305,,1120079000.0,204910.40000003157,451617.2000000037
BAACCE3A2C,서울특별시 성동구 용답동,좋은**,,서울 성동구,식료품,장한평자동차,20130305,,1120079000.0,204910.40000003157,451617.2000000037
BE3EAEA415,서울특별시 성동구 용답동,별난**,,서울 성동구,한식-국수/만두,답십리,20140107,,1120079000.0,204910.40000003157,451617.2000000037
BE3EAEA415,서울특별시 성동구 용답동,별난**,,서울 성동구,한식-국수/만두,답십리,20140107,,1120079000.0,204910.40000003157,451617.2000000037
01AAD3CFFA,서울특별시 성동구 행당동,행당**,,서울 성동구,식료품,왕십리,20160513,,1120056000.0,203271.9999999935,450976.00000000506
01AAD3CFFA,서울특별시 성동구 행당동,행당**,,서울 성동구,식료품,왕십리,20160513,,1120056000.0,203271.9999999935,450976.00000000506
C3E6D8B14F,서울특별시 성동구 행당동,이혜*******,,서울 성동구,인삼제품,행당,20131216,,1120056000.0,203271.9999999935,450976.00000000506
C3E6D8B14F,서울특별시 성동구 행당동,이혜*******,,서울 성동구,인삼제품,행당,20131216,,1120056000.0,203271.9999999935,450976.00000000506
E606947836,서울특별시 성동구 홍익동,정*,,서울 성동구,중식당,왕십리,20150918,,1120053500.0,202845.99999999712,451869.2000000023
E606947836,서울특별시 성동구 홍익동,정*,,서울 성동구,중식당,왕십리,20150918,,1120053500.0,202845.99999999712,451869.2000000023
E863289A7D,서울특별시 성동구 홍익동,조은**,,서울 성동구,한식-단품요리일반,,20150116,,1120053500.0,202845.99999999712,451869.2000000023
E863289A7D,서울특별시 성동구 홍익동,조은**,,서울 성동구,한식-단품요리일반,,20150116,,1120053500.0,202845.99999999712,451869.2000000023
B584924DB0,서울특별시 성동구 행당1동,왕십****,,서울 성동구,식품 제조,왕십리,20140828,,1120056000.0,203198.80000003573,450997.9999999982
B584924DB0,서울특별시 성동구 행당1동,왕십****,,서울 성동구,식품 제조,왕십리,20140828,,1120056000.0,203198.80000003573,450997.9999999982
2344622681,서울특별시 성동구 도선동,광한******,,서울 성동구,한식-해물/생선,왕십리,20110502,,1120053500.0,202962.4000000054,451585.1999999988
2344622681,서울특별시 성동구 도선동,광한******,,서울 성동구,한식-해물/생선,왕십리,20110502,,1120053500.0,202962.4000000054,451585.1999999988
3E35A71757,서울특별시 성동구 마장동,멕시*****,치킨19,서울 성동구,치킨,,20050830,,1120054000.0,204004.39999997415,451872.4000000039
5017C6924A,서울특별시 성동구 마장동,도미********,피자2,서울 성동구,피자,,20100723,,1120054000.0,204004.39999997415,451872.4000000039
888828B4FB,서울특별시 성동구 마장동,현대**,,서울 성동구,식료품,,20070420,,1120054000.0,204004.39999997415,451872.4000000039
06C463E9D9,서울특별시 성동구 마장동,청계**,,서울 성동구,식료품,,20070704,,1120054000.0,204004.39999997415,451872.4000000039
5AEEA3B4EF,서울특별시 성동구 마장동,한양**,,서울 성동구,식료품,,20101008,,1120054000.0,204004.39999997415,451872.4000000039
1400634946,서울특별시 성동구 마장동,한일**,,서울 성동구,중식당,,20040728,,1120054000.0,204004.39999997415,451872.4000000039
3E61C339E2,서울특별시 성동구 마장동,세화**,,서울 성동구,축산물,,20020924,,1120054000.0,204004.39999997415,451872.4000000039
B81D338DB6,서울특별시 성동구 마장동,대성**,축산물2,서울 성동구,축산물,마장동,20030819,,1120054000.0,204004.39999997415,451872.4000000039
